season,stem,sar_path,opt_path,quality_pass,reject_reasons,opt_edge_mean,opt_gray_std,opt_water_ratio,sar_edge_mean,sar_gray_std,sar_resolved_path,opt_resolved_path
winter,ROIs2017_winter_93_p522,E:\Data\winter\s1_93\ROIs2017_winter_s1_93_p522.png,E:\Data\winter\s2_93\ROIs2017_winter_s2_93_p522.png,False,water_like,18.099228,37.681479,0.843316,58.564407,50.094277,E:\Data\winter\s1_93\ROIs2017_winter_s1_93_p522.png,E:\Data\winter\s2_93\ROIs2017_winter_s2_93_p522.png
fall,ROIs1970_fall_144_p580,E:\Data\fall\s1_144\ROIs1970_fall_s1_144_p580.png,E:\Data\fall\s2_144\ROIs1970_fall_s2_144_p580.png,False,low_texture,15.148315,14.015937,0.0,55.874664,39.156889,E:\Data\fall\s1_144\ROIs1970_fall_s1_144_p580.png,E:\Data\fall\s2_144\ROIs1970_fall_s2_144_p580.png
winter,winter_img_temperate_p9986,E:\Data\winter\s1_170\winter_img_temperate_p9986.png,E:\Data\winter\s2_170\winter_img_temperate_p9986.png,False,low_texture,21.592575,13.138465,0.0,6.07869,4.956162,E:\Data\winter\s1_170\winter_img_temperate_p9986.png,E:\Data\winter\s2_170\winter_img_temperate_p9986.png
summer,ROIs1868_summer_88_p1440,E:\Data\summer\s1_88\ROIs1868_summer_s1_88_p1440.png,E:\Data\summer\s2_88\ROIs1868_summer_s2_88_p1440.png,False,low_texture,5.654205,6.34761,0.0,40.194168,27.490537,E:\Data\summer\s1_88\ROIs1868_summer_s1_88_p1440.png,E:\Data\summer\s2_88\ROIs1868_summer_s2_88_p1440.png
fall,ROIs1970_fall_71_p6,E:\Data\fall\s1_71\ROIs1970_fall_s1_71_p6.png,E:\Data\fall\s2_71\ROIs1970_fall_s2_71_p6.png,False,water_like,26.797455,32.785494,0.576389,46.675858,56.096065,E:\Data\fall\s1_71\ROIs1970_fall_s1_71_p6.png,E:\Data\fall\s2_71\ROIs1970_fall_s2_71_p6.png
spring,ROIs1158_spring_100_p59,E:\Data\spring\s1_100\ROIs1158_spring_s1_100_p59.png,E:\Data\spring\s2_100\ROIs1158_spring_s2_100_p59.png,False,water_like,15.30513,21.782142,0.996094,42.14389,50.103588,E:\Data\spring\s1_100\ROIs1158_spring_s1_100_p59.png,E:\Data\spring\s2_100\ROIs1158_spring_s2_100_p59.png
summer,ROIs1868_summer_88_p84,E:\Data\summer\s1_88\ROIs1868_summer_s1_88_p84.png,E:\Data\summer\s2_88\ROIs1868_summer_s2_88_p84.png,False,low_texture,6.604645,20.033493,0.0,41.335434,58.084457,E:\Data\summer\s1_88\ROIs1868_summer_s1_88_p84.png,E:\Data\summer\s2_88\ROIs1868_summer_s2_88_p84.png
fall,ROIs1970_fall_109_p566,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p566.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p566.png,False,water_like,19.894302,52.560207,0.590712,54.365265,43.847951,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p566.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p566.png
winter,ROIs2017_winter_13_p635,E:\Data\winter\s1_13\ROIs2017_winter_s1_13_p635.png,E:\Data\winter\s2_13\ROIs2017_winter_s2_13_p635.png,False,water_like,30.3349,36.445481,0.884115,49.343063,55.786382,E:\Data\winter\s1_13\ROIs2017_winter_s1_13_p635.png,E:\Data\winter\s2_13\ROIs2017_winter_s2_13_p635.png
winter,ROIs2017_winter_111_p363,E:\Data\winter\s1_111\ROIs2017_winter_s1_111_p363.png,E:\Data\winter\s2_111\ROIs2017_winter_s2_111_p363.png,False,water_like,27.892014,47.94258,0.701389,49.041458,49.421463,E:\Data\winter\s1_111\ROIs2017_winter_s1_111_p363.png,E:\Data\winter\s2_111\ROIs2017_winter_s2_111_p363.png
fall,ROIs1970_fall_116_p1553,E:\Data\fall\s1_116\ROIs1970_fall_s1_116_p1553.png,E:\Data\fall\s2_116\ROIs1970_fall_s2_116_p1553.png,False,water_like,14.008499,57.407766,0.501736,36.106216,57.37149,E:\Data\fall\s1_116\ROIs1970_fall_s1_116_p1553.png,E:\Data\fall\s2_116\ROIs1970_fall_s2_116_p1553.png
summer,summer_img_temperate_p6213,E:\Data\summer\s1_160\summer_img_temperate_p6213.png,E:\Data\summer\s2_160\summer_img_temperate_p6213.png,False,low_texture,19.317917,17.636342,0.0,7.412888,7.973595,E:\Data\summer\s1_160\summer_img_temperate_p6213.png,E:\Data\summer\s2_160\summer_img_temperate_p6213.png
winter,winter_img_temperate_p2683,E:\Data\winter\s1_170\winter_img_temperate_p2683.png,E:\Data\winter\s2_170\winter_img_temperate_p2683.png,False,low_texture,14.394669,10.932572,0.0,12.497574,10.332212,E:\Data\winter\s1_170\winter_img_temperate_p2683.png,E:\Data\winter\s2_170\winter_img_temperate_p2683.png
winter,ROIs2017_winter_133_p741,E:\Data\winter\s1_133\ROIs2017_winter_s1_133_p741.png,E:\Data\winter\s2_133\ROIs2017_winter_s2_133_p741.png,False,low_texture,17.027756,17.413166,0.0,60.097092,40.838289,E:\Data\winter\s1_133\ROIs2017_winter_s1_133_p741.png,E:\Data\winter\s2_133\ROIs2017_winter_s2_133_p741.png
spring,ROIs1158_spring_112_p603,E:\Data\spring\s1_112\ROIs1158_spring_s1_112_p603.png,E:\Data\spring\s2_112\ROIs1158_spring_s2_112_p603.png,False,low_texture,20.311646,14.755833,0.009549,50.62674,38.810205,E:\Data\spring\s1_112\ROIs1158_spring_s1_112_p603.png,E:\Data\spring\s2_112\ROIs1158_spring_s2_112_p603.png
fall,ROIs1970_fall_139_p1010,E:\Data\fall\s1_139\ROIs1970_fall_s1_139_p1010.png,E:\Data\fall\s2_139\ROIs1970_fall_s2_139_p1010.png,False,water_like,18.503036,37.399767,0.878038,30.370789,48.438584,E:\Data\fall\s1_139\ROIs1970_fall_s1_139_p1010.png,E:\Data\fall\s2_139\ROIs1970_fall_s2_139_p1010.png
fall,ROIs1970_fall_115_p83,E:\Data\fall\s1_115\ROIs1970_fall_s1_115_p83.png,E:\Data\fall\s2_115\ROIs1970_fall_s2_115_p83.png,False,water_like,21.797913,77.840197,0.408854,47.770844,44.980288,E:\Data\fall\s1_115\ROIs1970_fall_s1_115_p83.png,E:\Data\fall\s2_115\ROIs1970_fall_s2_115_p83.png
fall,fall_img_tropical_p11799,E:\Data\fall\s1_150\fall_img_tropical_p11799.png,E:\Data\fall\s2_150\fall_img_tropical_p11799.png,False,low_texture,8.188705,6.799998,0.0,16.15918,11.887518,E:\Data\fall\s1_150\fall_img_tropical_p11799.png,E:\Data\fall\s2_150\fall_img_tropical_p11799.png
spring,ROIs1158_spring_72_p894,E:\Data\spring\s1_72\ROIs1158_spring_s1_72_p894.png,E:\Data\spring\s2_72\ROIs1158_spring_s2_72_p894.png,False,low_texture;water_like,13.47525,60.971558,0.824653,44.573471,46.182107,E:\Data\spring\s1_72\ROIs1158_spring_s1_72_p894.png,E:\Data\spring\s2_72\ROIs1158_spring_s2_72_p894.png
summer,ROIs1868_summer_41_p75,E:\Data\summer\s1_41\ROIs1868_summer_s1_41_p75.png,E:\Data\summer\s2_41\ROIs1868_summer_s2_41_p75.png,False,low_texture,7.217163,4.088834,0.000868,31.370514,22.114508,E:\Data\summer\s1_41\ROIs1868_summer_s1_41_p75.png,E:\Data\summer\s2_41\ROIs1868_summer_s2_41_p75.png
summer,ROIs1868_summer_90_p982,E:\Data\summer\s1_90\ROIs1868_summer_s1_90_p982.png,E:\Data\summer\s2_90\ROIs1868_summer_s2_90_p982.png,False,low_texture,13.900787,39.992915,0.056858,51.017487,40.649737,E:\Data\summer\s1_90\ROIs1868_summer_s1_90_p982.png,E:\Data\summer\s2_90\ROIs1868_summer_s2_90_p982.png
fall,ROIs1970_fall_110_p826,E:\Data\fall\s1_110\ROIs1970_fall_s1_110_p826.png,E:\Data\fall\s2_110\ROIs1970_fall_s2_110_p826.png,False,water_like,31.623688,34.282752,0.502604,53.256622,40.72948,E:\Data\fall\s1_110\ROIs1970_fall_s1_110_p826.png,E:\Data\fall\s2_110\ROIs1970_fall_s2_110_p826.png
spring,ROIs1158_spring_54_p848,E:\Data\spring\s1_54\ROIs1158_spring_s1_54_p848.png,E:\Data\spring\s2_54\ROIs1158_spring_s2_54_p848.png,False,water_like,35.444229,35.754992,0.85026,52.24823,53.215096,E:\Data\spring\s1_54\ROIs1158_spring_s1_54_p848.png,E:\Data\spring\s2_54\ROIs1158_spring_s2_54_p848.png
winter,ROIs2017_winter_93_p851,E:\Data\winter\s1_93\ROIs2017_winter_s1_93_p851.png,E:\Data\winter\s2_93\ROIs2017_winter_s2_93_p851.png,False,low_texture;water_like,13.442215,30.406632,0.776476,58.029297,43.487783,E:\Data\winter\s1_93\ROIs2017_winter_s1_93_p851.png,E:\Data\winter\s2_93\ROIs2017_winter_s2_93_p851.png
fall,ROIs1970_fall_109_p657,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p657.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p657.png,False,water_like,20.263901,60.632954,0.560764,54.312576,42.585653,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p657.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p657.png
winter,ROIs2017_winter_105_p22,E:\Data\winter\s1_105\ROIs2017_winter_s1_105_p22.png,E:\Data\winter\s2_105\ROIs2017_winter_s2_105_p22.png,False,water_like,34.640793,29.312931,0.684896,61.97261,52.948706,E:\Data\winter\s1_105\ROIs2017_winter_s1_105_p22.png,E:\Data\winter\s2_105\ROIs2017_winter_s2_105_p22.png
spring,ROIs1158_spring_24_p619,E:\Data\spring\s1_24\ROIs1158_spring_s1_24_p619.png,E:\Data\spring\s2_24\ROIs1158_spring_s2_24_p619.png,False,water_like,30.208923,24.063557,0.904948,51.517654,55.526275,E:\Data\spring\s1_24\ROIs1158_spring_s1_24_p619.png,E:\Data\spring\s2_24\ROIs1158_spring_s2_24_p619.png
fall,fall_img_temperate_p742,E:\Data\fall\s1_150\fall_img_temperate_p742.png,E:\Data\fall\s2_150\fall_img_temperate_p742.png,False,low_texture,18.400253,13.315396,0.0,7.619736,6.223159,E:\Data\fall\s1_150\fall_img_temperate_p742.png,E:\Data\fall\s2_150\fall_img_temperate_p742.png
winter,ROIs2017_winter_111_p351,E:\Data\winter\s1_111\ROIs2017_winter_s1_111_p351.png,E:\Data\winter\s2_111\ROIs2017_winter_s2_111_p351.png,False,water_like,22.671097,44.655739,0.367188,50.567688,50.150626,E:\Data\winter\s1_111\ROIs2017_winter_s1_111_p351.png,E:\Data\winter\s2_111\ROIs2017_winter_s2_111_p351.png
spring,ROIs1158_spring_49_p202,E:\Data\spring\s1_49\ROIs1158_spring_s1_49_p202.png,E:\Data\spring\s2_49\ROIs1158_spring_s2_49_p202.png,False,low_texture;water_like,7.110596,7.047047,1.0,39.982483,24.866726,E:\Data\spring\s1_49\ROIs1158_spring_s1_49_p202.png,E:\Data\spring\s2_49\ROIs1158_spring_s2_49_p202.png
fall,ROIs1970_fall_139_p1578,E:\Data\fall\s1_139\ROIs1970_fall_s1_139_p1578.png,E:\Data\fall\s2_139\ROIs1970_fall_s2_139_p1578.png,False,water_like,23.981033,36.983136,0.62283,31.444519,37.712081,E:\Data\fall\s1_139\ROIs1970_fall_s1_139_p1578.png,E:\Data\fall\s2_139\ROIs1970_fall_s2_139_p1578.png
winter,ROIs2017_winter_97_p388,E:\Data\winter\s1_97\ROIs2017_winter_s1_97_p388.png,E:\Data\winter\s2_97\ROIs2017_winter_s2_97_p388.png,False,low_texture,12.275925,30.93462,0.000868,63.618973,43.100231,E:\Data\winter\s1_97\ROIs2017_winter_s1_97_p388.png,E:\Data\winter\s2_97\ROIs2017_winter_s2_97_p388.png
winter,ROIs2017_winter_56_p896,E:\Data\winter\s1_56\ROIs2017_winter_s1_56_p896.png,E:\Data\winter\s2_56\ROIs2017_winter_s2_56_p896.png,False,water_like,29.015625,40.421154,0.904948,35.779022,36.160746,E:\Data\winter\s1_56\ROIs2017_winter_s1_56_p896.png,E:\Data\winter\s2_56\ROIs2017_winter_s2_56_p896.png
summer,ROIs1868_summer_132_p155,E:\Data\summer\s1_132\ROIs1868_summer_s1_132_p155.png,E:\Data\summer\s2_132\ROIs1868_summer_s2_132_p155.png,False,low_texture,9.052841,30.418574,0.214844,63.524857,54.494708,E:\Data\summer\s1_132\ROIs1868_summer_s1_132_p155.png,E:\Data\summer\s2_132\ROIs1868_summer_s2_132_p155.png
fall,fall_img_tropical_p11688,E:\Data\fall\s1_150\fall_img_tropical_p11688.png,E:\Data\fall\s2_150\fall_img_tropical_p11688.png,False,low_texture,7.790482,5.231842,0.0,17.857452,11.654742,E:\Data\fall\s1_150\fall_img_tropical_p11688.png,E:\Data\fall\s2_150\fall_img_tropical_p11688.png
winter,ROIs2017_winter_126_p707,E:\Data\winter\s1_126\ROIs2017_winter_s1_126_p707.png,E:\Data\winter\s2_126\ROIs2017_winter_s2_126_p707.png,False,low_texture,12.564636,17.198868,0.00217,43.179108,42.881115,E:\Data\winter\s1_126\ROIs2017_winter_s1_126_p707.png,E:\Data\winter\s2_126\ROIs2017_winter_s2_126_p707.png
spring,ROIs1158_spring_14_p885,E:\Data\spring\s1_14\ROIs1158_spring_s1_14_p885.png,E:\Data\spring\s2_14\ROIs1158_spring_s2_14_p885.png,False,low_texture,7.477509,8.677018,0.0,55.477676,53.259503,E:\Data\spring\s1_14\ROIs1158_spring_s1_14_p885.png,E:\Data\spring\s2_14\ROIs1158_spring_s2_14_p885.png
summer,ROIs1868_summer_115_p122,E:\Data\summer\s1_115\ROIs1868_summer_s1_115_p122.png,E:\Data\summer\s2_115\ROIs1868_summer_s2_115_p122.png,False,low_texture,9.41893,11.156633,0.0,45.735291,35.301242,E:\Data\summer\s1_115\ROIs1868_summer_s1_115_p122.png,E:\Data\summer\s2_115\ROIs1868_summer_s2_115_p122.png
spring,ROIs1158_spring_24_p49,E:\Data\spring\s1_24\ROIs1158_spring_s1_24_p49.png,E:\Data\spring\s2_24\ROIs1158_spring_s2_24_p49.png,False,water_like,32.178833,27.45763,0.71875,48.602219,56.418621,E:\Data\spring\s1_24\ROIs1158_spring_s1_24_p49.png,E:\Data\spring\s2_24\ROIs1158_spring_s2_24_p49.png
summer,summer_img_temperate_p1065,E:\Data\summer\s1_160\summer_img_temperate_p1065.png,E:\Data\summer\s2_160\summer_img_temperate_p1065.png,False,low_texture,12.867355,10.174267,0.0,6.702194,6.50333,E:\Data\summer\s1_160\summer_img_temperate_p1065.png,E:\Data\summer\s2_160\summer_img_temperate_p1065.png
fall,fall_img_temperate_p791,E:\Data\fall\s1_150\fall_img_temperate_p791.png,E:\Data\fall\s2_150\fall_img_temperate_p791.png,False,low_texture,13.643661,8.072667,0.0,9.959732,9.110077,E:\Data\fall\s1_150\fall_img_temperate_p791.png,E:\Data\fall\s2_150\fall_img_temperate_p791.png
winter,ROIs2017_winter_140_p871,E:\Data\winter\s1_140\ROIs2017_winter_s1_140_p871.png,E:\Data\winter\s2_140\ROIs2017_winter_s2_140_p871.png,False,water_like,47.950912,61.221514,0.690538,22.286209,22.469531,E:\Data\winter\s1_140\ROIs2017_winter_s1_140_p871.png,E:\Data\winter\s2_140\ROIs2017_winter_s2_140_p871.png
winter,ROIs2017_winter_6_p684,E:\Data\winter\s1_6\ROIs2017_winter_s1_6_p684.png,E:\Data\winter\s2_6\ROIs2017_winter_s2_6_p684.png,False,water_like,19.941727,63.250077,0.351997,45.020508,38.316177,E:\Data\winter\s1_6\ROIs2017_winter_s1_6_p684.png,E:\Data\winter\s2_6\ROIs2017_winter_s2_6_p684.png
winter,winter_img_temperate_p5890,E:\Data\winter\s1_170\winter_img_temperate_p5890.png,E:\Data\winter\s2_170\winter_img_temperate_p5890.png,False,low_texture,17.804199,16.450789,0.0,5.808151,7.53379,E:\Data\winter\s1_170\winter_img_temperate_p5890.png,E:\Data\winter\s2_170\winter_img_temperate_p5890.png
summer,ROIs1868_summer_95_p850,E:\Data\summer\s1_95\ROIs1868_summer_s1_95_p850.png,E:\Data\summer\s2_95\ROIs1868_summer_s2_95_p850.png,False,low_texture,11.699646,17.483264,0.080729,20.458023,13.817958,E:\Data\summer\s1_95\ROIs1868_summer_s1_95_p850.png,E:\Data\summer\s2_95\ROIs1868_summer_s2_95_p850.png
spring,ROIs1158_spring_64_p485,E:\Data\spring\s1_64\ROIs1158_spring_s1_64_p485.png,E:\Data\spring\s2_64\ROIs1158_spring_s2_64_p485.png,False,low_texture,9.603592,10.345554,0.0,34.945206,21.012219,E:\Data\spring\s1_64\ROIs1158_spring_s1_64_p485.png,E:\Data\spring\s2_64\ROIs1158_spring_s2_64_p485.png
fall,fall_img_temperate_p2751,E:\Data\fall\s1_150\fall_img_temperate_p2751.png,E:\Data\fall\s2_150\fall_img_temperate_p2751.png,False,sar_low_texture,19.507751,18.15151,0.0,5.952026,3.016467,E:\Data\fall\s1_150\fall_img_temperate_p2751.png,E:\Data\fall\s2_150\fall_img_temperate_p2751.png
fall,ROIs1970_fall_83_p583,E:\Data\fall\s1_83\ROIs1970_fall_s1_83_p583.png,E:\Data\fall\s2_83\ROIs1970_fall_s2_83_p583.png,False,water_like,48.914429,42.421887,0.469618,57.550247,44.64288,E:\Data\fall\s1_83\ROIs1970_fall_s1_83_p583.png,E:\Data\fall\s2_83\ROIs1970_fall_s2_83_p583.png
winter,ROIs2017_winter_84_p691,E:\Data\winter\s1_84\ROIs2017_winter_s1_84_p691.png,E:\Data\winter\s2_84\ROIs2017_winter_s2_84_p691.png,False,water_like,24.069977,56.78,0.5625,66.086441,49.623545,E:\Data\winter\s1_84\ROIs2017_winter_s1_84_p691.png,E:\Data\winter\s2_84\ROIs2017_winter_s2_84_p691.png
spring,ROIs1158_spring_65_p881,E:\Data\spring\s1_65\ROIs1158_spring_s1_65_p881.png,E:\Data\spring\s2_65\ROIs1158_spring_s2_65_p881.png,False,low_texture,5.691208,0.755827,0.0,63.270172,65.92683,E:\Data\spring\s1_65\ROIs1158_spring_s1_65_p881.png,E:\Data\spring\s2_65\ROIs1158_spring_s2_65_p881.png
summer,ROIs1868_summer_106_p945,E:\Data\summer\s1_106\ROIs1868_summer_s1_106_p945.png,E:\Data\summer\s2_106\ROIs1868_summer_s2_106_p945.png,False,low_texture,12.028076,12.494722,0.0,57.244446,42.050447,E:\Data\summer\s1_106\ROIs1868_summer_s1_106_p945.png,E:\Data\summer\s2_106\ROIs1868_summer_s2_106_p945.png
spring,ROIs1158_spring_100_p428,E:\Data\spring\s1_100\ROIs1158_spring_s1_100_p428.png,E:\Data\spring\s2_100\ROIs1158_spring_s2_100_p428.png,False,water_like,18.618835,22.956751,0.74349,42.742691,37.291714,E:\Data\spring\s1_100\ROIs1158_spring_s1_100_p428.png,E:\Data\spring\s2_100\ROIs1158_spring_s2_100_p428.png
fall,fall_img_temperate_p2307,E:\Data\fall\s1_150\fall_img_temperate_p2307.png,E:\Data\fall\s2_150\fall_img_temperate_p2307.png,False,low_texture;sar_low_texture,15.546402,17.804013,0.0,7.310699,3.886568,E:\Data\fall\s1_150\fall_img_temperate_p2307.png,E:\Data\fall\s2_150\fall_img_temperate_p2307.png
spring,ROIs1158_spring_72_p31,E:\Data\spring\s1_72\ROIs1158_spring_s1_72_p31.png,E:\Data\spring\s2_72\ROIs1158_spring_s2_72_p31.png,False,water_like,18.849503,21.090987,1.0,44.8358,32.698387,E:\Data\spring\s1_72\ROIs1158_spring_s1_72_p31.png,E:\Data\spring\s2_72\ROIs1158_spring_s2_72_p31.png
spring,ROIs1158_spring_42_p1060,E:\Data\spring\s1_42\ROIs1158_spring_s1_42_p1060.png,E:\Data\spring\s2_42\ROIs1158_spring_s2_42_p1060.png,False,low_texture,6.886841,7.876682,0.0,39.699402,26.887768,E:\Data\spring\s1_42\ROIs1158_spring_s1_42_p1060.png,E:\Data\spring\s2_42\ROIs1158_spring_s2_42_p1060.png
fall,ROIs1970_fall_109_p1385,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p1385.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p1385.png,False,water_like,14.697144,72.612845,0.380642,53.561691,46.820466,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p1385.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p1385.png
summer,summer_img_temperate_p1551,E:\Data\summer\s1_160\summer_img_temperate_p1551.png,E:\Data\summer\s2_160\summer_img_temperate_p1551.png,False,low_texture,14.013062,8.227877,0.0,8.782471,4.874055,E:\Data\summer\s1_160\summer_img_temperate_p1551.png,E:\Data\summer\s2_160\summer_img_temperate_p1551.png
winter,ROIs2017_winter_8_p943,E:\Data\winter\s1_8\ROIs2017_winter_s1_8_p943.png,E:\Data\winter\s2_8\ROIs2017_winter_s2_8_p943.png,False,low_texture,11.815018,35.205729,0.026476,45.360672,45.010349,E:\Data\winter\s1_8\ROIs2017_winter_s1_8_p943.png,E:\Data\winter\s2_8\ROIs2017_winter_s2_8_p943.png
summer,ROIs1868_summer_54_p822,E:\Data\summer\s1_54\ROIs1868_summer_s1_54_p822.png,E:\Data\summer\s2_54\ROIs1868_summer_s2_54_p822.png,False,water_like,14.786026,32.823698,0.780816,31.820328,31.179468,E:\Data\summer\s1_54\ROIs1868_summer_s1_54_p822.png,E:\Data\summer\s2_54\ROIs1868_summer_s2_54_p822.png
fall,fall_img_temperate_p902,E:\Data\fall\s1_150\fall_img_temperate_p902.png,E:\Data\fall\s2_150\fall_img_temperate_p902.png,False,low_texture,12.971512,9.080451,0.0,8.631561,6.305507,E:\Data\fall\s1_150\fall_img_temperate_p902.png,E:\Data\fall\s2_150\fall_img_temperate_p902.png
winter,winter_img_temperate_p11070,E:\Data\winter\s1_170\winter_img_temperate_p11070.png,E:\Data\winter\s2_170\winter_img_temperate_p11070.png,False,low_texture,13.943802,14.453484,0.000434,15.384415,14.403599,E:\Data\winter\s1_170\winter_img_temperate_p11070.png,E:\Data\winter\s2_170\winter_img_temperate_p11070.png
winter,ROIs2017_winter_101_p1340,E:\Data\winter\s1_101\ROIs2017_winter_s1_101_p1340.png,E:\Data\winter\s2_101\ROIs2017_winter_s2_101_p1340.png,False,low_texture;water_like,12.092575,27.30103,0.996094,51.916656,46.254913,E:\Data\winter\s1_101\ROIs2017_winter_s1_101_p1340.png,E:\Data\winter\s2_101\ROIs2017_winter_s2_101_p1340.png
winter,ROIs2017_winter_140_p872,E:\Data\winter\s1_140\ROIs2017_winter_s1_140_p872.png,E:\Data\winter\s2_140\ROIs2017_winter_s2_140_p872.png,False,water_like,43.798553,57.561027,0.796875,21.864655,19.089838,E:\Data\winter\s1_140\ROIs2017_winter_s1_140_p872.png,E:\Data\winter\s2_140\ROIs2017_winter_s2_140_p872.png
summer,ROIs1868_summer_102_p3,E:\Data\summer\s1_102\ROIs1868_summer_s1_102_p3.png,E:\Data\summer\s2_102\ROIs1868_summer_s2_102_p3.png,False,low_texture,10.543152,16.991265,0.000868,47.36087,31.648708,E:\Data\summer\s1_102\ROIs1868_summer_s1_102_p3.png,E:\Data\summer\s2_102\ROIs1868_summer_s2_102_p3.png
winter,winter_img_temperate_p246,E:\Data\winter\s1_170\winter_img_temperate_p246.png,E:\Data\winter\s2_170\winter_img_temperate_p246.png,False,low_texture,19.460007,17.46134,0.0,19.435745,16.872016,E:\Data\winter\s1_170\winter_img_temperate_p246.png,E:\Data\winter\s2_170\winter_img_temperate_p246.png
fall,ROIs1970_fall_120_p1218,E:\Data\fall\s1_120\ROIs1970_fall_s1_120_p1218.png,E:\Data\fall\s2_120\ROIs1970_fall_s2_120_p1218.png,False,water_like,43.936157,72.452464,0.53776,50.299088,34.308181,E:\Data\fall\s1_120\ROIs1970_fall_s1_120_p1218.png,E:\Data\fall\s2_120\ROIs1970_fall_s2_120_p1218.png
